"","code","country.x","primary","country.y","poverty","region","income","gini","duration","completion","trained_teacher"
"48","CPV","Cabo Verde",92.86026,"Cabo Verde",NA,"Sub-Saharan Africa","Lower middle income",42.4,10,"51.92240906","94.60944366"
"49","CRI","Costa Rica",98.36736,"Costa Rica",1.3,"Latin America & Caribbean","Upper middle income",48.4,13,"81.27166684","93.32377548"
"50","CSS","Caribbean small states",90.48512,"Caribbean small states",NA,NA,NA,NA,6.5,"#DIV/0!","81.71745242"
"51","CUB","Cuba",94.53374,"Cuba",NA,"Latin America & Caribbean","Upper middle income",NA,9,"91.57204437","100"
"52","CUW","Curacao",NA,"Curacao",NA,"Latin America & Caribbean","High income",NA,14,"99.39974976","#DIV/0!"
"53","CYM","Cayman Islands",NA,"Cayman Islands",NA,"Latin America & Caribbean","High income",NA,12,"99.40296555","95.9993988"
"54","CYP","Cyprus",97.0838,"Cyprus",0,"Europe & Central Asia","High income",34,10,"94.51953803","100"
"55","CZE","Czechia",88.80417,"Czechia",0,"Europe & Central Asia","High income",25.9,10,"99.86027442","#DIV/0!"
"56","DEU","Germany",90.62417,"Germany",0,"Europe & Central Asia","High income",31.4,13,"100","#DIV/0!"
"57","DJI","Djibouti",57.24558,"Djibouti",NA,"Middle East & North Africa","Lower middle income",NA,10,"39.28207016","99.00107956"
"58","DMA","Dominica",97.98016,"Dominica",NA,"Latin America & Caribbean","Upper middle income",NA,12,"#DIV/0!","62.16865463"
"59","DNK","Denmark",99.0209,"Denmark",0.3,"Europe & Central Asia","High income",28.2,10,"#DIV/0!","#DIV/0!"
"60","DOM","Dominican Republic",95.13993,"Dominican Republic",2,"Latin America & Caribbean","Upper middle income",45.2,15,"69.83583323","89.27710597"
"61","DZA","Algeria",NA,"Algeria",NA,"Middle East & North Africa","Lower middle income",NA,10,"64.00724792","98.42599487"
"62","EAP","East Asia & Pacific (excluding high income)",95.962,"East Asia & Pacific (excluding high income)",NA,NA,NA,NA,9,"#DIV/0!","#DIV/0!"
"63","EAR","Early-demographic dividend",92.86882,"Early-demographic dividend",NA,NA,NA,NA,10,"#DIV/0!","79.98296738"
"64","EAS","East Asia & Pacific",95.99079,"East Asia & Pacific",2.3,NA,NA,NA,9,"#DIV/0!","#DIV/0!"
"65","ECA","Europe & Central Asia (excluding high income)",94.93937,"Europe & Central Asia (excluding high income)",NA,NA,NA,NA,10.5,"#DIV/0!","94.24499893"
"66","ECS","Europe & Central Asia",96.75136,"Europe & Central Asia",2.7,NA,NA,NA,11,"#DIV/0!","94.79787674"
"67","ECU","Ecuador",98.06549,"Ecuador",3.6,"Latin America & Caribbean","Upper middle income",46,15,"81.15043934","88.89264679"
"68","EGY","Egypt, Arab Rep.",98.64429,"Egypt, Arab Rep.",NA,"Middle East & North Africa","Lower middle income",31.8,12,"#DIV/0!","81.43597107"
"69","EMU","Euro area",98.14906,"Euro area",NA,NA,NA,NA,11,"#DIV/0!","#DIV/0!"
"70","ERI","Eritrea",NA,"Eritrea",NA,"Sub-Saharan Africa","Low income",NA,8,"#DIV/0!","84.89278539"
"71","ESP","Spain",98.85537,"Spain",1.1,"Europe & Central Asia","High income",36.2,10,"90.34047413","100"
"72","EST","Estonia",93.68565,"Estonia",0.5,"Europe & Central Asia","High income",32.7,9,"99.77649689","#DIV/0!"
"73","ETH","Ethiopia",NA,"Ethiopia",NA,"Sub-Saharan Africa","Low income",35,8,"22.31374359","#DIV/0!"
"74","EUU","European Union",97.62383,"European Union",NA,NA,NA,NA,11,"#DIV/0!","#DIV/0!"
"75","FCS","Fragile and conflict affected situations",NA,"Fragile and conflict affected situations",31.2,NA,NA,NA,9,"#DIV/0!","73.66533938"
"76","FIN","Finland",99.12044,"Finland",0,"Europe & Central Asia","High income",27.1,11,"#DIV/0!","#DIV/0!"
"77","FJI","Fiji",99.4431,"Fiji",NA,"East Asia & Pacific","Upper middle income",NA,NA,"91.18470764","94.39822769"
"78","FRA","France",99.37467,"France",0.1,"Europe & Central Asia","High income",32.7,13,"97.90695021","#DIV/0!"
"79","FRO","Faroe Islands",NA,"Faroe Islands",NA,"Europe & Central Asia","High income",NA,9,"#DIV/0!","#DIV/0!"
"80","FSM","Micronesia, Fed. Sts.",NA,"Micronesia, Fed. Sts.",NA,"East Asia & Pacific","Lower middle income",NA,8,"#DIV/0!","34.87927294"
"81","GAB","Gabon",NA,"Gabon",NA,"Sub-Saharan Africa","Upper middle income",NA,10,"#DIV/0!","52.04771423"
"82","GBR","United Kingdom",99.65208,"United Kingdom",0.2,"Europe & Central Asia","High income",33.3,11,"99.88056619","#DIV/0!"
"83","GEO","Georgia",97.95282,"Georgia",4.9,"Europe & Central Asia","Upper middle income",36.5,9,"98.83454895","#DIV/0!"
"84","GHA","Ghana",NA,"Ghana",25.2,"Sub-Saharan Africa","Lower middle income",NA,11,"61.42816925","56.67317804"
"85","GIB","Gibraltar",99.70191,"Gibraltar",NA,"Europe & Central Asia","High income",NA,12,"#DIV/0!","71.3235302"
"86","GIN","Guinea",78.08732,"Guinea",NA,"Sub-Saharan Africa","Lower middle income",NA,6,"19.81249619","74.34141286"
"87","GMB","Gambia, The",77.65176,"Gambia, The",NA,"Sub-Saharan Africa","Low income",35.9,9,"38.92977651","86.24892044"
"88","GNB","Guinea-Bissau",NA,"Guinea-Bissau",NA,"Sub-Saharan Africa","Low income",NA,9,"#DIV/0!","38.93130112"
"89","GNQ","Equatorial Guinea",NA,"Equatorial Guinea",NA,"Sub-Saharan Africa","Upper middle income",NA,6,"#DIV/0!","35.95601368"
"90","GRC","Greece",97.94221,"Greece",1,"Europe & Central Asia","High income",36,10,"94.25502625","#DIV/0!"
"91","GRD","Grenada",NA,"Grenada",NA,"Latin America & Caribbean","Upper middle income",NA,12,"#DIV/0!","61.74656804"
"92","GRL","Greenland",NA,"Greenland",NA,"Europe & Central Asia","High income",NA,10,"100","#DIV/0!"
"93","GTM","Guatemala",87.19765,"Guatemala",NA,"Latin America & Caribbean","Upper middle income",NA,16,"45.04037247","#DIV/0!"
"94","GUM","Guam",NA,"Guam",NA,"East Asia & Pacific","High income",NA,0,"#DIV/0!","#DIV/0!"
"95","GUY","Guyana",NA,"Guyana",NA,"Latin America & Caribbean","High income",NA,6,"84.06530762","73.39978256"
"96","HIC","High income",96.85409,"High income",0.6,NA,NA,NA,10,"#DIV/0!","94.99724509"
"97","HKG","Hong Kong SAR, China",97.17614,"Hong Kong SAR, China",NA,"East Asia & Pacific","High income",NA,9,"95.10357012","96.10164055"
"98","HND","Honduras",79.95579,"Honduras",14.6,"Latin America & Caribbean","Lower middle income",49.2,12,"56.73666721","#DIV/0!"
"99","HPC","Heavily indebted poor countries (HIPC)",80.54475,"Heavily indebted poor countries (HIPC)",NA,NA,NA,NA,8.5,"#DIV/0!","76.62781701"
"100","HRV","Croatia",97.85166,"Croatia",0.6,"Europe & Central Asia","High income",31.1,8,"96.97402191","#DIV/0!"
"101","HTI","Haiti",NA,"Haiti",NA,"Latin America & Caribbean","Lower middle income",NA,6,"46.36672974","#DIV/0!"
"102","HUN","Hungary",96.86899,"Hungary",1.3,"Europe & Central Asia","High income",30.4,13,"99.59053497","#DIV/0!"
"103","IBD","IBRD only",96.29055,"IBRD only",NA,NA,NA,NA,10,"#DIV/0!","87.53376484"
"104","IBT","IDA & IBRD total",89.76459,"IDA & IBRD total",NA,NA,NA,NA,9,"#DIV/0!","84.23194038"
"105","IDA","IDA total",77.96156,"IDA total",28.3,NA,NA,NA,9,"#DIV/0!","76.23868977"
"106","IDB","IDA blend",70.20335,"IDA blend",NA,NA,NA,NA,9.5,"#DIV/0!","74.58976746"
"107","IDN","Indonesia",93.62147,"Indonesia",7.5,"East Asia & Pacific","Upper middle income",40.4,9,"78.1352975","#DIV/0!"
"108","IDX","IDA only",81.69973,"IDA only",NA,NA,NA,NA,9,"#DIV/0!","76.83021482"
"109","IMN","Isle of Man",NA,"Isle of Man",NA,"Europe & Central Asia","High income",NA,NA,"#DIV/0!","#DIV/0!"
"110","IND","India",NA,"India",18.1,"South Asia","Lower middle income",34.7,8,"58.37718887","79.78021545"
"111","IRL","Ireland",99.97016,"Ireland",0.1,"Europe & Central Asia","High income",31.8,10,"#DIV/0!","#DIV/0!"
"112","IRN","Iran, Islamic Rep.",99.7847,"Iran, Islamic Rep.",0.7,"Middle East & North Africa","Lower middle income",39.5,9,"#DIV/0!","100"
"113","IRQ","Iraq",NA,"Iraq",NA,"Middle East & North Africa","Upper middle income",NA,6,"68.51982498","#DIV/0!"
"114","ISL","Iceland",99.51819,"Iceland",0,"Europe & Central Asia","High income",26.8,10,"#DIV/0!","#DIV/0!"
"115","ISR","Israel",97.05013,"Israel",0.2,"Middle East & North Africa","High income",39.7,15,"95.26179377","#DIV/0!"
"116","ITA","Italy",97.69825,"Italy",1.6,"Europe & Central Asia","High income",35.4,12,"94.84502157","#DIV/0!"
"117","JAM","Jamaica",84.39417,"Jamaica",NA,"Latin America & Caribbean","Upper middle income",NA,6,"#DIV/0!","98.03543949"
"118","JOR","Jordan",NA,"Jordan",NA,"Middle East & North Africa","Lower middle income",NA,10,"87.82868576","100"
"119","JPN","Japan",NA,"Japan",NA,"East Asia & Pacific","High income",NA,NA,"99.55633545","#DIV/0!"
"120","KAZ","Kazakhstan",99.71618,"Kazakhstan",0.1,"Europe & Central Asia","Upper middle income",26.8,9,"99.49225998","100"
"121","KEN","Kenya",NA,"Kenya",NA,"Sub-Saharan Africa","Lower middle income",40.8,12,"66.74222692","100"
"122","KGZ","Kyrgyz Republic",98.47782,"Kyrgyz Republic",1.1,"Europe & Central Asia","Lower middle income",29,10,"98.87036896","89.27337646"
"123","KHM","Cambodia",92.97896,"Cambodia",NA,"East Asia & Pacific","Lower middle income",NA,NA,"32.2644372","99.78007214"
"124","KIR","Kiribati",98.23962,"Kiribati",NA,"East Asia & Pacific","Lower middle income",NA,9,"88.93831635","66.19111697"
"125","KNA","St. Kitts and Nevis",96.216,"St. Kitts and Nevis",NA,"Latin America & Caribbean","High income",NA,12,"#DIV/0!","66.26725048"
"126","KOR","Korea, Rep.",97.26558,"Korea, Rep.",0.2,"East Asia & Pacific","High income",NA,9,"94.90540695","100"
"127","KWT","Kuwait",96.64405,"Kuwait",NA,"Middle East & North Africa","High income",NA,9,"61.63684769","83.66555677"
"128","LAC","Latin America & Caribbean (excluding high income)",95.73677,"Latin America & Caribbean (excluding high income)",NA,NA,NA,NA,14,"#DIV/0!","82.78472842"
"129","LAO","Lao PDR",94.00376,"Lao PDR",NA,"East Asia & Pacific","Lower middle income",NA,9,"57.26173019","96.70864105"
"130","LBN","Lebanon",NA,"Lebanon",NA,"Middle East & North Africa","Lower middle income",NA,10,"#DIV/0!","28.72955036"
"131","LBR","Liberia",NA,"Liberia",27.6,"Sub-Saharan Africa","Low income",NA,6,"41.57437897","62.36706066"
"132","LBY","Libya",NA,"Libya",NA,"Middle East & North Africa","Upper middle income",NA,9,"#DIV/0!","#DIV/0!"
"133","LCA","St. Lucia",97.9736,"St. Lucia",5.1,"Latin America & Caribbean","Upper middle income",NA,10,"#DIV/0!","86.02176285"
"134","LCN","Latin America & Caribbean",95.54695,"Latin America & Caribbean",4.4,NA,NA,NA,13,"#DIV/0!","79.6250939"
"135","LDC","Least developed countries: UN classification",81.43591,"Least developed countries: UN classification",NA,NA,NA,NA,8,"#DIV/0!","75.43496195"
"136","LIC","Low income",81.0466,"Low income",44.6,NA,NA,NA,9,"#DIV/0!","76.876243"
"137","LIE","Liechtenstein",99.31079,"Liechtenstein",NA,"Europe & Central Asia","High income",NA,9,"#DIV/0!","#DIV/0!"
"138","LKA","Sri Lanka",99.06007,"Sri Lanka",1.3,"South Asia","Lower middle income",NA,11,"#DIV/0!","83.81303024"
"139","LMC","Lower middle income",88.51671,"Lower middle income",15.9,NA,NA,NA,9,"#DIV/0!","79.02076252"
"140","LMY","Low & middle income",89.7551,"Low & middle income",12.5,NA,NA,NA,9,"#DIV/0!","84.59859721"
"141","LSO","Lesotho",91.20179,"Lesotho",NA,"Sub-Saharan Africa","Lower middle income",NA,7,"58.23323059","72.98315048"
"142","LTE","Late-demographic dividend",96.56094,"Late-demographic dividend",NA,NA,NA,NA,10,"#DIV/0!","96.41065216"
"143","LTU","Lithuania",99.74473,"Lithuania",1.3,"Europe & Central Asia","High income",37.4,11,"98.80910916","93.75937445"
"144","LUX","Luxembourg",98.79947,"Luxembourg",0.1,"Europe & Central Asia","High income",32.9,12,"#DIV/0!","#DIV/0!"
"145","LVA","Latvia",96.79255,"Latvia",0.6,"Europe & Central Asia","High income",34.2,11,"99.75531551","100"
"146","MAC","Macao SAR, China",96.77011,"Macao SAR, China",NA,"East Asia & Pacific","High income",NA,10,"88.71125031","93.95378465"
"147","MAF","St. Martin (French part)",NA,"St. Martin (French part)",NA,"Latin America & Caribbean","High income",NA,NA,"#DIV/0!","#DIV/0!"
"148","MAR","Morocco",NA,"Morocco",NA,"Middle East & North Africa","Lower middle income",NA,9,"#DIV/0!","100"
"149","MCO","Monaco",NA,"Monaco",NA,"Europe & Central Asia","High income",NA,11,"#DIV/0!","70.88403702"
"150","MDA","Moldova",90.03561,"Moldova",0.1,"Europe & Central Asia","Upper middle income",27,10,"99.19204521","100"
"151","MDG","Madagascar",NA,"Madagascar",NA,"Sub-Saharan Africa","Low income",NA,5,"45.13480568","16.41559005"
"152","MDV","Maldives",96.29823,"Maldives",0,"South Asia","Upper middle income",NA,7,"62.9823494","85.00178909"
"153","MEA","Middle East & North Africa",94.55097,"Middle East & North Africa",6,NA,NA,NA,9,"#DIV/0!","87.94393217"
"154","MEX","Mexico",99.21367,"Mexico",3.2,"Latin America & Caribbean","Upper middle income",NA,14,"78.56902398","88.99089877"
"155","MHL","Marshall Islands",74.5278,"Marshall Islands",NA,"East Asia & Pacific","Upper middle income",NA,13,"96.43000031","51.93130493"
"156","MIC","Middle income",91.53974,"Middle income",NA,NA,NA,NA,10,"#DIV/0!","85.65824042"
"157","MKD","North Macedonia",NA,"North Macedonia",4.2,"Europe & Central Asia","Upper middle income",35.6,13,"92.46578598","#DIV/0!"
"158","MLI","Mali",62.13872,"Mali",NA,"Sub-Saharan Africa","Low income",NA,9,"14.98945999","52.42385101"
"159","MLT","Malta",98.46075,"Malta",0.1,"Middle East & North Africa","High income",29.4,11,"98.52216","82.60822732"
"160","MMR","Myanmar",NA,"Myanmar",NA,"East Asia & Pacific","Lower middle income",38.1,5,"59.06002426","98.24836985"
"161","MNA","Middle East & North Africa (excluding high income)",94.01606,"Middle East & North Africa (excluding high income)",NA,NA,NA,NA,9,"#DIV/0!","85.7963562"
"162","MNE","Montenegro",93.73702,"Montenegro",2.5,"Europe & Central Asia","Upper middle income",39,9,"97.48744202","#DIV/0!"
"163","MNG","Mongolia",98.72633,"Mongolia",0.7,"East Asia & Pacific","Lower middle income",NA,12,"91.36827087","97.48530663"
"164","MNP","Northern Mariana Islands",NA,"Northern Mariana Islands",NA,"East Asia & Pacific","High income",NA,NA,"#DIV/0!","#DIV/0!"
"165","MOZ","Mozambique",90.76644,"Mozambique",NA,"Sub-Saharan Africa","Low income",NA,NA,"32.58969943","91.28037071"
"166","MRT","Mauritania",73.48295,"Mauritania",NA,"Sub-Saharan Africa","Lower middle income",NA,9,"31.3565855","95.21007538"
"167","MUS","Mauritius",95.33664,"Mauritius",NA,"Sub-Saharan Africa","Upper middle income",NA,11,"66.98356628","100"
"168","MWI","Malawi",NA,"Malawi",65.7,"Sub-Saharan Africa","Low income",NA,8,"47.06161499","91.69938469"
"169","MYS","Malaysia",NA,"Malaysia",NA,"East Asia & Pacific","Upper middle income",41.1,6,"93.17815908","96.91079903"
"170","NAC","North America",95.86634,"North America",NA,NA,NA,NA,11,"#DIV/0!","98.66882324"
"171","NAM","Namibia",NA,"Namibia",NA,"Sub-Saharan Africa","Upper middle income",59.1,7,"#DIV/0!","92.06277161"
"172","NCL","New Caledonia",NA,"New Caledonia",NA,"East Asia & Pacific","High income",NA,0,"#DIV/0!","#DIV/0!"
"173","NER","Niger",63.57047,"Niger",NA,"Sub-Saharan Africa","Low income",NA,NA,"13.21513033","60.78286044"
"174","NGA","Nigeria",NA,"Nigeria",NA,"Sub-Saharan Africa","Lower middle income",35.9,9,"63.80646896","64.1625843"
"175","NIC","Nicaragua",NA,"Nicaragua",NA,"Latin America & Caribbean","Lower middle income",NA,7,"57.47000122","71.77259064"
"176","NLD","Netherlands",NA,"Netherlands",0,"Europe & Central Asia","High income",28.2,13,"98.43915049","#DIV/0!"
"177","NOR","Norway",99.8062,"Norway",0.3,"Europe & Central Asia","High income",27.5,10,"99.77057103","#DIV/0!"
"178","NPL","Nepal",98.32872,"Nepal",NA,"South Asia","Lower middle income",NA,9,"41.5521698","93.88135043"
"179","NRU","Nauru",93.96215,"Nauru",NA,"East Asia & Pacific","High income",NA,14,"#DIV/0!","100"
"180","NZL","New Zealand",98.52583,"New Zealand",NA,"East Asia & Pacific","High income",NA,10,"#DIV/0!","#DIV/0!"
"181","OED","OECD members",97.04555,"OECD members",NA,NA,NA,NA,11,"#DIV/0!","94.03642967"
"182","OMN","Oman",98.5996,"Oman",NA,"Middle East & North Africa","High income",NA,10,"82.25637309","100"
"183","OSS","Other small states",85.16929,"Other small states",NA,NA,NA,NA,9,"#DIV/0!","80.96332065"
"184","PAK","Pakistan",66.01372,"Pakistan",NA,"South Asia","Lower middle income",31.3,12,"47.53153949","81.60636054"
"185","PAN","Panama",NA,"Panama",1.5,"Latin America & Caribbean","High income",50.8,11,"85.59393616","93.49630192"
"186","PER","Peru",99.56785,"Peru",4.6,"Latin America & Caribbean","Upper middle income",43.4,14,"69.64083417","#DIV/0!"
"187","PHL","Philippines",94.85361,"Philippines",NA,"East Asia & Pacific","Lower middle income",44.6,13,"83.16342545","100"
"188","PLW","Palau",NA,"Palau",NA,"East Asia & Pacific","Upper middle income",NA,12,"98.59705353","100"
"189","PNG","Papua New Guinea",75.54612,"Papua New Guinea",NA,"East Asia & Pacific","Lower middle income",NA,NA,"50.22631836","#DIV/0!"
"190","POL","Poland",NA,"Poland",0.2,"Europe & Central Asia","High income",31.8,8,"98.85338266","99.61999969"
"191","PRE","Pre-demographic dividend",75.69233,"Pre-demographic dividend",NA,NA,NA,NA,8.5,"#DIV/0!","74.13970809"
"192","PRI","Puerto Rico",78.79343,"Puerto Rico",NA,"Latin America & Caribbean","High income",NA,13,"90.11380005","93.7564799"
"193","PRK","Korea, Dem. People's Rep.",NA,"Korea, Dem. People's Rep.",NA,"East Asia & Pacific","Low income",NA,12,"#DIV/0!","#DIV/0!"
"194","PRT","Portugal",96.88158,"Portugal",0.4,"Europe & Central Asia","High income",35.5,12,"90.44701524","100"
"195","PRY","Paraguay",NA,"Paraguay",1.7,"Latin America & Caribbean","Upper middle income",47.6,13,"74.45916621","92.0764389"
"196","PSE","West Bank and Gaza",95.77247,"West Bank and Gaza",0.5,"Middle East & North Africa","Upper middle income",NA,10,"92.96190227","100"
"197","PSS","Pacific island small states",78.36007,"Pacific island small states",NA,NA,NA,NA,NA,"#DIV/0!","82.87666003"
"198","PST","Post-demographic dividend",96.68799,"Post-demographic dividend",NA,NA,NA,NA,10.5,"#DIV/0!","94.96149028"
"199","PYF","French Polynesia",NA,"French Polynesia",NA,"East Asia & Pacific","High income",NA,NA,"#DIV/0!","#DIV/0!"
"200","QAT","Qatar",97.23088,"Qatar",NA,"Middle East & North Africa","High income",NA,12,"80.23960876","100"
"201","ROU","Romania",87.4854,"Romania",3.2,"Europe & Central Asia","High income",35.9,10,"98.57870399","#DIV/0!"
"202","RUS","Russian Federation",97.33678,"Russian Federation",0,"Europe & Central Asia","Upper middle income",37.7,11,"99.60074997","98.81366621"
"203","RWA","Rwanda",98.84059,"Rwanda",52,"Sub-Saharan Africa","Low income",NA,6,"35.47307396","91.40913137"
"204","SAS","South Asia",91.62522,"South Asia",15.8,NA,NA,NA,9,"#DIV/0!","74.74106026"
"205","SAU","Saudi Arabia",97.54549,"Saudi Arabia",NA,"Middle East & North Africa","High income",NA,9,"83.66566467","100"
"206","SDN","Sudan",59.17542,"Sudan",NA,"Sub-Saharan Africa","Low income",NA,8,"#DIV/0!","#DIV/0!"
"207","SEN","Senegal",73.53294,"Senegal",NA,"Sub-Saharan Africa","Lower middle income",NA,11,"21.94266701","68.41008682"
"208","SGP","Singapore",99.98961,"Singapore",NA,"East Asia & Pacific","High income",NA,6,"86.00411779","98.38272349"
"209","SLB","Solomon Islands",NA,"Solomon Islands",NA,"East Asia & Pacific","Lower middle income",NA,NA,"#DIV/0!","65.11224976"
"210","SLE","Sierra Leone",98.96839,"Sierra Leone",NA,"Sub-Saharan Africa","Low income",NA,9,"32.80588531","59.29106522"
"211","SLV","El Salvador",85.17199,"El Salvador",2.6,"Latin America & Caribbean","Upper middle income",40.6,15,"57.8012515","95.56062622"
"212","SMR","San Marino",NA,"San Marino",NA,"Europe & Central Asia","High income",NA,10,"96.59699249","58.37947922"
"213","SOM","Somalia",NA,"Somalia",NA,"Sub-Saharan Africa","Low income",NA,NA,"15.50286961","#DIV/0!"
"214","SRB","Serbia",99.16856,"Serbia",6.4,"Europe & Central Asia","Upper middle income",40.5,8,"96.48506274","63.0774231"
"215","SSA","Sub-Saharan Africa (excluding high income)",77.93024,"Sub-Saharan Africa (excluding high income)",NA,NA,NA,NA,8,"#DIV/0!","73.17298681"
"216","SSD","South Sudan",NA,"South Sudan",67.3,"Sub-Saharan Africa","Low income",NA,8,"#DIV/0!","44.02709961"
"217","SSF","Sub-Saharan Africa",77.93112,"Sub-Saharan Africa",37.3,NA,NA,NA,8,"#DIV/0!","73.17415758"
